date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,144,7.5498,22.9516,16.4315,22.9516,1.8480,1,9.904,15.388
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,145,16.4315,21.3434,14.6160,21.3434,2.0460,1,21.371,21.874
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,146,14.6160,21.3105,1.9062,21.3105,1.7490,1,17.008,18.741
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,147,0.3875,22.8603,8.7947,22.8603,4.0040,1,8.345,8.571
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,148,8.7947,26.1865,9.8126,26.1865,3.4760,1,5.541,7.318
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,149,9.8126,20.3242,13.6306,20.3242,4.1580,1,7.091,8.848
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,150,13.6306,19.1592,1.3973,19.1592,4.5210,1,14.736,15.163
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,151,1.3973,23.3824,11.1046,23.3824,4.2460,1,8.375,10.479
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,152,11.1046,22.5025,3.3878,22.5025,3.4430,1,10.816,12.995
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,153,3.3878,12.7535,5.4926,12.7535,1.0340,1,11.442,11.475
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,154,5.4926,11.6028,4.2668,11.6028,1.8590,1,9.822,9.862
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,155,4.2668,11.2680,1.9559,11.2680,1.1000,1,7.385,7.408
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,156,4.4207,30.1459,22.8383,30.1459,3.8060,1,9.762,9.788
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,157,22.8383,31.0680,22.9651,31.0680,3.2010,1,29.843,30.509
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,158,22.9651,30.5363,22.6081,30.5363,2.7830,1,26.265,28.722
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,159,22.6081,30.9671,2.5009,30.9671,4.0370,1,24.055,25.489
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,160,2.5009,9.7105,1.1890,9.7105,3.9380,1,10.606,10.653
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,161,4.3975,16.1998,3.4389,16.1998,4.1140,1,2.882,2.932
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,162,3.4389,13.7666,3.3928,13.7666,6.5890,1,7.897,7.967
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,163,3.3928,12.2152,6.7142,12.2152,3.1570,1,4.495,4.734
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,164,1.8620,9.6833,3.1502,9.6833,4.1250,1,3.187,3.239
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,165,2.6299,16.4479,5.9058,16.4479,4.4000,1,6.843,7.327
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,166,5.9058,17.1080,6.3508,17.1080,3.0140,1,5.707,6.591
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,167,3.9353,15.5541,5.7319,15.5541,2.6840,1,4.769,5.482
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,168,5.7319,26.2851,6.7414,26.2851,6.0830,1,6.976,7.012
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,169,6.7414,24.0768,4.6582,24.0768,3.4210,1,7.904,9.592
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,170,4.6582,14.5969,2.7083,14.5969,1.0120,1,4.439,4.517
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,171,2.7083,9.4118,3.4348,9.4118,4.2680,1,8.620,8.930
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,172,3.4348,13.3309,2.9894,13.3309,2.2110,1,8.321,10.039
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,173,2.9894,9.6767,0.8039,9.6767,3.7730,1,3.489,6.615
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,174,2.5135,18.5134,7.2056,18.5134,3.9380,1,4.806,4.816
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,175,2.3872,9.0574,2.4924,9.0574,6.6990,1,8.991,10.648
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,176,3.4206,16.4230,4.3369,16.4230,5.7530,1,13.496,20.792
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,177,4.3369,9.3309,1.8995,9.3309,4.2130,1,11.682,14.400
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,178,1.4710,9.7252,1.0736,9.7252,5.5660,1,4.984,11.724
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,179,1.7829,9.5617,3.1913,9.5617,5.6210,1,1.820,3.876
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,180,4.4732,12.2660,0.6098,12.2660,2.0350,1,6.174,7.538
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,181,2.8908,19.3304,1.8591,19.3304,3.5420,1,5.515,16.502
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,182,1.8591,16.4330,2.7831,16.4330,3.3220,1,7.155,19.401
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,183,2.6641,8.2577,0.7093,8.2577,4.0040,1,6.096,9.407
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,184,9.3549,19.8245,1.7184,19.8245,2.3650,1,13.720,13.749
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,185,1.7184,24.3046,6.6718,24.3046,4.5210,1,4.434,6.706
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,186,5.7828,13.7269,8.1623,13.7269,2.9040,1,6.529,8.132
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,187,3.4489,12.1561,0.5705,12.1561,9.7680,1,3.775,3.822
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,188,0.5705,17.8380,7.0467,17.8380,8.9980,1,5.867,15.368
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,189,7.0467,13.5736,7.4734,13.5736,5.5330,1,5.758,7.199
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,190,7.4734,11.8936,3.9954,11.8936,6.2480,1,9.231,9.879
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,191,3.9954,11.7956,1.6634,11.7956,4.8620,1,3.377,3.815
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,192,5.4852,19.1764,3.6028,19.1764,2.7500,1,6.462,6.659
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,193,3.5390,12.8190,1.8188,12.8190,5.3240,1,2.754,8.601
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,194,3.1143,6.5515,0.8832,6.5515,4.3890,1,3.383,3.440
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,195,0.8832,10.0618,4.0479,10.0618,9.1300,1,3.211,10.191
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,196,4.0479,7.9180,3.9591,7.9180,3.7840,1,3.842,5.923
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,197,6.1573,26.5473,0.9716,26.5473,3.3330,1,6.611,7.986
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,198,3.6318,8.6283,4.5416,8.6283,7.2380,1,5.863,6.452
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,199,1.7356,10.5575,0.7910,10.5575,5.4780,1,3.758,7.107
2026-03-10,2026-03-10,DATA_20260310_160000.BIN,200,0.7910,6.8786,2.2351,6.8786,5.3790,1,2.283,5.522
