date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,60,5.4677,10.6348,7.3711,10.6348,2.4750,1,4.563,4.877
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,61,7.3711,10.6564,0.2355,10.6564,9.9110,1,6.225,7.213
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,62,0.2355,18.8064,2.9020,18.8064,8.6680,1,3.218,4.134
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,63,2.9020,6.1326,0.2474,6.1326,3.3550,1,5.476,7.552
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,64,0.2474,9.2634,0.0864,9.2634,6.5450,1,2.134,2.875
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,65,0.0864,14.5936,7.3682,14.5936,5.0930,1,1.791,2.810
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,66,7.3682,10.1684,5.0343,10.1684,4.4330,1,7.757,9.148
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,67,5.0343,13.4178,5.2487,13.4178,2.6950,1,4.120,7.952
2026-03-09,2026-03-09,DATA_20260309_111322.BIN,68,5.2487,16.2445,6.0829,16.2445,2.4640,1,3.888,7.782
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,69,1.0531,5.7276,0.3808,5.7276,3.5860,1,8.058,14.502
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,70,2.4264,14.7279,6.1194,14.7279,3.0580,1,7.715,8.881
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,71,6.1194,13.1678,1.3993,13.1678,4.8730,1,6.468,8.715
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,72,1.3993,8.8170,2.9410,8.8170,2.8270,1,4.678,8.563
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,73,2.9410,8.8875,1.3290,8.8875,8.0190,1,7.026,14.701
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,74,1.6156,11.9241,3.4674,11.9241,6.4240,1,6.013,8.684
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,75,3.4674,7.7645,2.5810,7.7645,1.9800,1,7.310,9.705
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,76,2.5810,7.4194,1.9845,7.4194,2.4640,1,5.417,6.425
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,77,2.2761,17.1884,6.5345,17.1884,2.5300,1,3.841,7.239
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,78,1.6264,9.7355,3.2741,9.7355,4.2350,1,3.570,5.368
2026-03-09,2026-03-09,DATA_20260309_112322.BIN,79,2.5972,8.4368,3.1604,8.4368,3.6520,1,4.730,5.720
